random	SNP_n	Gene_n
gtex_rsid739.bed	3	14
gtex_rsid740.bed	6	7
gtex_rsid741.bed	2	6
gtex_rsid742.bed	4	10
gtex_rsid743.bed	6	18
gtex_rsid744.bed	8	12
gtex_rsid745.bed	4	11
gtex_rsid746.bed	5	6
gtex_rsid747.bed	2	2
gtex_rsid748.bed	6	11
gtex_rsid749.bed	1	2
gtex_rsid750.bed	10	17
gtex_rsid751.bed	8	22
gtex_rsid752.bed	6	15
gtex_rsid753.bed	5	13
gtex_rsid754.bed	6	8
gtex_rsid755.bed	2	4
gtex_rsid756.bed	7	9
gtex_rsid757.bed	4	4
gtex_rsid758.bed	8	12
gtex_rsid759.bed	3	6
gtex_rsid760.bed	3	5
gtex_rsid761.bed	4	23
gtex_rsid762.bed	5	5
gtex_rsid763.bed	9	24
gtex_rsid764.bed	2	18
gtex_rsid765.bed	8	17
gtex_rsid766.bed	5	13
gtex_rsid767.bed	6	13
gtex_rsid768.bed	4	10
gtex_rsid769.bed	3	13
gtex_rsid770.bed	8	17
gtex_rsid771.bed	2	3
gtex_rsid772.bed	2	2
gtex_rsid773.bed	3	12
gtex_rsid774.bed	6	14
gtex_rsid775.bed	3	3
gtex_rsid776.bed	5	12
gtex_rsid777.bed	3	5
gtex_rsid778.bed	4	10
gtex_rsid779.bed	6	8
gtex_rsid780.bed	8	17
gtex_rsid781.bed	4	14
gtex_rsid782.bed	12	21
gtex_rsid783.bed	7	9
gtex_rsid784.bed	5	6
gtex_rsid785.bed	5	12
gtex_rsid786.bed	3	3
gtex_rsid787.bed	3	5
gtex_rsid788.bed	3	7
gtex_rsid789.bed	3	9
gtex_rsid790.bed	5	8
gtex_rsid791.bed	4	6
gtex_rsid792.bed	7	16
gtex_rsid793.bed	2	3
gtex_rsid794.bed	5	8
gtex_rsid795.bed	6	19
gtex_rsid796.bed	2	3
gtex_rsid797.bed	7	12
gtex_rsid798.bed	3	5
gtex_rsid799.bed	3	3
gtex_rsid800.bed	5	11
gtex_rsid801.bed	4	12
gtex_rsid802.bed	6	12
gtex_rsid803.bed	9	44
gtex_rsid804.bed	4	5
gtex_rsid805.bed	9	13
gtex_rsid806.bed	8	18
gtex_rsid807.bed	1	1
gtex_rsid808.bed	3	3
gtex_rsid809.bed	5	5
gtex_rsid810.bed	4	7
gtex_rsid811.bed	7	17
gtex_rsid812.bed	2	2
gtex_rsid813.bed	3	3
gtex_rsid814.bed	6	12
gtex_rsid815.bed	0	0
gtex_rsid816.bed	3	5
gtex_rsid817.bed	5	8
gtex_rsid818.bed	2	2
gtex_rsid819.bed	3	7
gtex_rsid820.bed	7	9
gtex_rsid821.bed	5	12
gtex_rsid822.bed	9	22
gtex_rsid823.bed	6	8
gtex_rsid824.bed	3	5
gtex_rsid825.bed	6	18
gtex_rsid826.bed	5	9
gtex_rsid827.bed	7	13
gtex_rsid828.bed	3	6
gtex_rsid829.bed	1	1
gtex_rsid830.bed	10	12
gtex_rsid831.bed	7	16
gtex_rsid832.bed	6	19
gtex_rsid833.bed	2	5
gtex_rsid834.bed	4	7
gtex_rsid835.bed	5	18
gtex_rsid836.bed	6	13
gtex_rsid837.bed	6	7
gtex_rsid838.bed	8	22
gtex_rsid839.bed	4	6
gtex_rsid840.bed	4	8
gtex_rsid841.bed	2	3
gtex_rsid842.bed	4	7
gtex_rsid843.bed	4	6
gtex_rsid844.bed	4	8
gtex_rsid845.bed	4	5
gtex_rsid846.bed	5	9
gtex_rsid847.bed	6	14
gtex_rsid848.bed	3	5
gtex_rsid849.bed	5	7
gtex_rsid850.bed	6	11
gtex_rsid851.bed	6	16
gtex_rsid852.bed	7	15
gtex_rsid853.bed	0	0
gtex_rsid854.bed	6	10
gtex_rsid855.bed	9	17
gtex_rsid856.bed	3	3
gtex_rsid857.bed	4	5
gtex_rsid858.bed	5	7
gtex_rsid859.bed	6	17
gtex_rsid860.bed	4	4
gtex_rsid861.bed	5	9
gtex_rsid862.bed	11	20
gtex_rsid863.bed	8	14
gtex_rsid864.bed	3	3
gtex_rsid865.bed	5	5
gtex_rsid866.bed	5	10
gtex_rsid867.bed	2	2
gtex_rsid868.bed	2	4
gtex_rsid869.bed	2	2
