random	SNP_n	Enh_n
encode_rsid651.tsv	251	251
encode_rsid652.tsv	257	257
encode_rsid653.tsv	273	273
encode_rsid654.tsv	235	235
encode_rsid655.tsv	272	272
encode_rsid656.tsv	236	236
encode_rsid657.tsv	222	222
encode_rsid658.tsv	254	253
encode_rsid659.tsv	251	251
encode_rsid660.tsv	258	258
encode_rsid661.tsv	227	227
encode_rsid662.tsv	243	243
encode_rsid663.tsv	250	250
encode_rsid664.tsv	224	224
encode_rsid665.tsv	248	248
encode_rsid666.tsv	231	230
encode_rsid667.tsv	248	247
encode_rsid668.tsv	234	234
encode_rsid669.tsv	248	248
encode_rsid670.tsv	259	259
encode_rsid671.tsv	280	280
encode_rsid672.tsv	249	249
encode_rsid673.tsv	253	253
encode_rsid674.tsv	219	219
encode_rsid675.tsv	270	270
encode_rsid676.tsv	214	214
encode_rsid677.tsv	234	234
encode_rsid678.tsv	242	241
encode_rsid679.tsv	254	254
encode_rsid680.tsv	226	226
encode_rsid681.tsv	251	251
encode_rsid682.tsv	251	251
encode_rsid683.tsv	264	264
encode_rsid684.tsv	230	230
encode_rsid685.tsv	243	243
encode_rsid686.tsv	242	242
encode_rsid687.tsv	261	261
encode_rsid688.tsv	252	252
encode_rsid689.tsv	252	252
encode_rsid690.tsv	236	236
encode_rsid691.tsv	267	266
encode_rsid692.tsv	258	258
encode_rsid693.tsv	263	263
encode_rsid694.tsv	235	235
encode_rsid695.tsv	251	251
encode_rsid696.tsv	247	247
encode_rsid697.tsv	246	246
encode_rsid698.tsv	227	227
encode_rsid699.tsv	269	269
encode_rsid700.tsv	235	235
encode_rsid701.tsv	238	238
encode_rsid702.tsv	276	276
encode_rsid703.tsv	239	238
encode_rsid704.tsv	266	266
encode_rsid705.tsv	226	226
encode_rsid706.tsv	240	239
encode_rsid707.tsv	266	265
encode_rsid708.tsv	251	251
encode_rsid709.tsv	253	253
encode_rsid710.tsv	248	248
encode_rsid711.tsv	233	232
encode_rsid712.tsv	275	275
encode_rsid713.tsv	259	259
encode_rsid714.tsv	255	254
encode_rsid715.tsv	255	255
encode_rsid716.tsv	219	219
encode_rsid717.tsv	256	255
encode_rsid718.tsv	250	250
encode_rsid719.tsv	235	235
encode_rsid720.tsv	240	240
encode_rsid721.tsv	249	249
encode_rsid722.tsv	275	275
encode_rsid723.tsv	236	235
encode_rsid724.tsv	279	279
encode_rsid725.tsv	255	255
encode_rsid726.tsv	263	262
encode_rsid727.tsv	260	260
encode_rsid728.tsv	242	242
encode_rsid729.tsv	215	215
encode_rsid730.tsv	276	276
encode_rsid731.tsv	254	254
encode_rsid732.tsv	236	236
encode_rsid733.tsv	286	286
encode_rsid734.tsv	272	272
encode_rsid735.tsv	245	245
encode_rsid736.tsv	231	231
encode_rsid737.tsv	234	233
